"Series Description","Federal funds effective rate"
"Unit:","Percent:_Per_Year"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/H15/RIFSPFF_N.M"
"Time Period","RIFSPFF_N.M"
2022-01,0.08
2022-02,0.08
2022-03,0.20
2022-04,0.33
2022-05,0.77
2022-06,1.21
2022-07,1.68
2022-08,2.33
2022-09,2.56
2022-10,3.08
2022-11,3.78
2022-12,4.10
2023-01,4.33
2023-02,4.57
2023-03,4.65
2023-04,4.83
2023-05,5.06
2023-06,5.08
2023-07,5.12
2023-08,5.33
2023-09,5.33
2023-10,5.33
2023-11,5.33
2023-12,5.33
2024-01,5.33
2024-02,5.33
2024-03,5.33
2024-04,5.33
2024-05,5.33
2024-06,5.33
2024-07,5.33
2024-08,5.33
2024-09,5.13
2024-10,4.83
2024-11,4.64
2024-12,4.48
